crn,report_month,reference_date,loan_type_new,loan_status,loan_classification,ownership_type,sector,sanction_amount,high_credit_amount,creditlimit,out_standing_balance,over_due_amount,emi,tu_score,date_opened,date_closed,datereported_trades,last_payment_date,pay_hist_start_date,pay_hist_end_date,dpd_string,base,CV_RN
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,NOT DISCLOSED,12635529,12635529,,12273343,,261592,764,2025-09-26,,2026-01-15,2026-01-05,2026-01-01,2025-09-01,000000000000000,,71
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,KOTAK BANK,5000000,5000000,,4381395,,168830,764,2025-08-07,,2026-01-15,2026-01-05,2026-01-01,2025-08-01,000000000000000000,,65
10472013941,202602,2026-01-30,Auto Loan (Personal),Live,,Individual,NOT DISCLOSED,1250000,1250000,,998023,,39867,764,2025-05-14,,2026-01-15,2026-01-10,2026-01-01,2025-05-01,STDSTDSTDSTDSTDSTDSTD029STD,,47
10472013941,202602,2026-01-30,Commercial Vehicle Loan,Live,,Individual,NOT DISCLOSED,3456692,3456692,,2502670,,,764,2025-01-27,,2026-01-15,2026-01-05,2026-01-01,2025-01-01,000000000000000000000000000000000000000,,58
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,3500000,3500000,,0,,222200,764,2024-12-11,2025-12-17,2025-12-31,2025-12-10,2025-12-01,2024-12-01,000000000000000000000000000000000000000,,59
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,KOTAK BANK,60965000,60965000,,51025085,,1372000,764,2024-12-03,,2026-01-15,2025-12-20,2026-01-01,2024-12-01,000000000000000000000000000000000000000000,,77
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,KOTAK BANK,17000000,17000000,,14268815,,383440,764,2024-12-03,,2026-01-15,2025-12-20,2026-01-01,2024-12-01,000000000000000000000000000000000000000000,,72
10472013941,202602,2026-01-30,Credit Card,Live,,Individual,KOTAK BANK,149900,149900,361000,149900,,,764,2024-04-17,,2026-01-15,2025-01-28,2026-01-01,2024-04-01,000000000000000000000000000000000000000000000000000000000000000000,,2
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,KOTAK BANK,41400000,41400000,,24744234,,843000,764,2023-11-03,,2026-01-15,2026-01-05,2026-01-01,2023-11-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000,,74
10472013941,202602,2026-01-30,Auto Loan (Personal),Live,,Individual,NOT DISCLOSED,4200000,4200000,,2760448,,67149,764,2023-10-23,,2026-01-15,2026-01-15,2026-01-01,2023-10-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,64
10472013941,202602,2026-01-30,Housing Loan,Live,,Individual,NOT DISCLOSED,6000000,6000000,,5654063,,,764,2023-09-12,,2026-01-15,2026-01-12,2026-01-01,2023-10-01,000000XXXXXX000000000000000019020017000020000001001001000000031031030031031000051021,,66
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Guarantor,KOTAK BANK,603730,603730,,160095,,21267,764,2023-08-25,,2026-01-15,2025-12-22,2026-01-01,2023-08-01,000000000000000000000000000000012000000000000000000000000000000000000000000000000000000000,,21
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,NOT DISCLOSED,51714322,51714322,,14225063,,1210000,764,2023-01-31,,2026-01-15,2026-01-15,2026-01-01,2023-02-01,000000000000000000000000000000000000000000000000000000000000000000000XXX000000000000000000000000000000000000,,76
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Guarantor,KOTAK BANK,6000000,6000000,,1486254,,156600,764,2022-11-11,,2026-01-15,2026-01-10,2026-01-01,2023-02-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,67
10472013941,202602,2026-01-30,Construction Equipment Loan,Live,,Individual,KOTAK BANK,17098000,17098000,,3221437,,416000,764,2022-10-18,,2026-01-15,2026-01-05,2026-01-01,2023-02-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,73
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,47486312,47486312,,0,,,764,2022-06-30,2022-09-30,2022-09-30,,2022-09-01,2022-07-01,000000000,,75
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,KOTAK BANK,4000000,4000000,,0,,122810,764,2022-06-27,2025-08-08,2025-08-15,2025-07-20,2025-08-01,2022-09-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,62
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,3818880,3818880,,0,,116700,764,2021-10-15,2024-09-15,2024-09-30,2024-09-15,2024-09-01,2021-10-01,000000000000000000000XXX000000000000000000000000000000000000000000000000000000000XXX000000000000000000XXX000,,60
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,2695680,2695680,,0,,82360,764,2021-10-15,2024-09-15,2024-09-30,2024-09-15,2024-09-01,2021-10-01,000000000000000000000XXX000000000000000000000000000000000000000000000000000000000XXX000000000000000000XXX000,,56
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,2695680,2695680,,0,,82360,764,2021-10-15,2024-09-15,2024-09-30,2024-09-15,2024-09-01,2021-10-01,000000000000000000000XXX000000000000000000000000000000000000000000000000000000000XXX000000000000000000XXX000,,57
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Guarantor,KOTAK BANK,2023592,2023592,,0,,68070,764,2021-09-03,2023-08-08,2023-08-31,2023-08-07,2023-08-01,2021-09-01,000000000000000000000000000000000000000000000000000000000000000000000000,,55
10472013941,202602,2026-01-30,Construction Equipment Loan,Closed,,Individual,NOT DISCLOSED,3829068,3829068,,0,,,764,2021-05-05,2025-05-05,2025-05-31,2025-05-05,2025-05-01,2022-06-01,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,61
